Food_Name_en|Effect_en|Ingredients_en|Steps_en|Food_Name|Effect|Ingredients|Steps
Burdock. (This is niupangzi. Another name is shuzhan zi.)|It cures apoplexy, mouth dryness due to dryness-heat evil, and hand and foot which do not obey as well as skin herpes.|Burdock [Arctium lappa] leaves (tender and thick), liquid butter.|[For] ingredients use broth to boil three to five sheng of Burdock leaves. Remove and after washing with fresh water, squeeze in a cloth to get the juice. Add the five spices and a little liquid butter and eat.|恶实菜|即牛蒡子，又名鼠粘子。治中风，燥热，口乾，手足不遂及皮肤热疮。|恶实菜叶 肥嫩者  酥油上件|以汤煮恶实叶三五升，取出，以新水淘过，布绞取汁，入五味，酥点食之。
Black Donkey Skin Soup|It cures apoplexy, hand and foot which do not obey, joint irritation pain, heart dryness-evil, deviation of eye and mouth, face and mouth and eyeball.|Black donkey’s skin (one sheet; remove hair, wash clean).|Steam ingredient. When cooked cut up finely into lengthwise strips. Add the five spices in fermented black bean juice. Flavor evenly. After cooking, eat on an empty stomach.|乌驴皮汤|治中风，手足不遂，骨节烦疼，心燥，口眼面目 斜。|乌驴皮 一张， 洗净|上件，蒸熟，细切如条，于豉汁中，入五味，调和匀，煮过，空心食之。
Sheep’s Head Hash|This cures apoplexy, vertigo, emaciation, and debility of hand and foot.|White sheep’s head (one; pluck and wash clean.)|Steam ingredient until overcooked. When done cut up finely. Use five spices juice. Flavor hash evenly. Eat on an empty stomach.|羊头脍|治中风，头眩，羸瘦，手足无力。|白羊头 一枚， 洗净|上件，蒸令烂熟，细切，以五味汁调和脍，空腹食之。
Wild Pig Meat Broth|It cures recto-anal fistula, bleeding piles, bleeding which will not stop and rectum swelling.|Wild pig meat (two jin; cut up finely).|Cook ingredient until overcooked. When done add the five spices. Eat on an empty stomach.|野猪|治久痔野鸡病，下血不止，肛门肿满。|野猪肉 二斤，细切|上件，煮令烂熟，入五味，空心食之。
Otter Liver Gruel|It cures recto-anal fistula, and bleeding which will not stop.|Otter liver (one).|Cook ingredient. When done add five spices. Eat on an empty stomach.|獭肝羹|治久痔下血不止。|獭肝 一副|上件，煮熟，入五味，空腹食之。
Bream Soup|It cures recto-anal fistula, fresh blood-stool, and chronic blood in the stool.|Large bream (one; young and fresh; wash clean and cut up into strips), Jinese flower pepper (two qian; make a fine powder), tsaoko cardamom (one qian; make a fine powder).|[For] ingredients use three onion bulbs. Cook. When done add the five spices. Eat on an empty stomach.|鲫鱼羹|治久痔，肠风，大便常有血。|大鲫鱼 一头，新鲜者，洗净，切作片  小椒 二钱，为末  草果 一钱，为末|上件，用葱三茎，煮熟，入五味，空腹食之。
Cassia Syrup|It produces saliva and stops thirst, augments qi, and harmonizes the center. It eliminates dampness and expels retention of fluid.|Sprouting ginger (three jin; take the juice), boiled water (two dou), red China root (three liang; remove skin and make a fine powder), cassia (three liang; remove skin and make a fine powder), finely ground yeast (half a jin), apricot kernels (100 nuts; blanch in boil- ing water, and remove the skin and tips; grind fresh to make a mash), malted wheat (half a jin; make into a powder), crystallized honey (three jin; refine).|[For] ingredients, use the aforementioned medicinals, the honey and the water and combine together evenly. Put into a clean crockery pot. Close up the mouth with several layers of oiled paper and seal well with mud. [Allow to ferment, when fermentation is finished] leave for three days in an ice cellar and it will be ready. [To drink] strain with floss silk. Put the [strained] slush into water. Drink during the hot months.|桂浆|生津止渴，益气和中，去湿逐饮。|生姜 三斤，取汁  熟水 二斗  赤茯苓 三两，去皮，为末  桂 三两，去皮，为末  曲末 半斤  杏仁 一百个，汤洗，去皮、尖，生研为泥  大麦蘖 半两，为末 白沙蜜 三斤，炼净。|右用前药，蜜水拌和匀，入磁罐内，油纸封口数重，泥固济，冰窖内放三日方熟。绵滤冰浸，暑月饮之。
Cassia-Garuwood Syrup|It eliminates dampness and expels retention of fluid. It brings forth saliva, controls thirst and accords qi.|Purple perilla leaves [Perilla frutescens var. crispa] (one liang; cut up), garuwood (three qian; cut up), black Chinese apricots (one liang; take the meat), granulated sugar (six liang).|[For] the four ingredients use five or six bowls of water. Boil down to three bowls. Strain and remove the dregs. Add one sheng of Cassia Syrup. Combine into a syrup and drink.|桂沉浆|去湿逐饮，生津止渴，顺气。|紫苏叶 一两，锉  沉香 三钱，锉  乌梅 一两，取肉  沙糖 六两|上件四味，用水五六碗，熬至三碗，滤去滓，入桂浆一升，合和作浆饮之。
Lichee Paste|It brings forth saliva, controls thirst and gets rid of irritation.|Black Chinese apricots (half a jin; take the meat), cassia (10 liang; remove the skin and cut up), crude granulated sugar (26 liang), musk deer musk (one-half qian; grind up), juice of sprouting ginger (five liang), cooked honey (14 liang).|[For] ingredients [i.e., black Chinese apricots and cassia] use one dou, five sheng of water. Boil down to half. Strain, remove dregs. Add the crude granulated sugar, and the juice of sprouting ginger. Boil again and get rid of the sediment. After it has become clear and settled for a short time, add the musk deer musk and mix together evenly. Allow to settle completely. Drink on a regular basis as desired.|荔枝膏|生津止渴，去烦。|乌梅 半斤，取肉  桂 一十两，去皮，锉  沙糖 二十六两  麝香 半钱，研 生姜汁 五两  熟蜜 一十四两|右用水一斗五升，熬至一半，滤去滓，下沙糖、生姜汁，再熬去滓，澄定少时，入麝香搅匀，澄清如常，任意服。
Oriental Flowering Apricot [Prunus mume] Pellet|It brings forth saliva and controls thirst. It counteracts and transforms liquor poisons, and gets rid of dampness.|Black [i.e. fresh] oriental flowering apricots (one and one-half liang; take the meat), salted oriental flowering apricots (one and one-half liang; take the meat), dried Chinese quinces (one and one-half liang; finely ground), purple perilla leaves (one and one-half liang), liquorice6 (one liang; heat dry), sandalwood (three qian), musk deer musk (one qian; grind up).|Make a fine powder of ingredients. Add the musk deer musk and combine evenly. [Use] crude granulated sugar and make into a pellet as large as a crossbow pellet. Whenever one consumes a pellet, let dissolve in the mouth.|梅子丸|生津止渴，解化酒毒，去湿。|乌梅 一两半，取肉  白梅 一两半，取肉  干木瓜 一两半  紫苏叶 一两半 甘草 一两，炙  檀香 二钱  麝香 一钱，研|右为末，入麝香和匀，沙糖为丸如弹大。每服一丸，噙化。
Red Currant Puree (Drink in Place of Grape Wine)|It brings forth saliva and controls thirst. It warms the essence and augments qi.|Red currants [“northern schisandra”] (one jin; clean the meat), purple perilla leaves (six liang), ginseng (four liang; remove the green shoots and cut up), crude granulated sugar (two jin).|[For] ingredients use two dou of water. Boil down to one dou. Strain and remove dregs. Let clear. Drink when one likes.|五味子汤|代葡萄酒饮。 生津止渴，暖精益气。|北五味 一斤，净肉  紫苏叶 六两  人参 四两，去芦，锉  沙糖 二斤|上件，用水二斗，熬至一斗，滤去滓，澄清，任意服之。
Ginseng Puree (Drink in Place of Liquor)|It accords the qi, opens the diaphragm, controls thirst and brings forth saliva.|Korean ginseng (four liang; remove green shoots and cut up), prepared mandarin orange peel (one liang; remove the white), purple perilla leaves (two liang), crude granulated sugar (one jin).|[For] ingredients use two dou of water. Boil down to one dou. Remove the dregs. Let clear. Drink when one likes.|人参汤|代酒 饮。 顺气、开胸膈，止渴生津。|新罗参 四两，去芦，锉  橘皮 一两，去白  紫苏叶 二两  沙糖 一斤|上件，用水二斗，熬至一斗，去滓，澄清，任意饮之。
Immortal’s Tsangshu [Atractylodes chinensis and other A. spp] [Seed] Puree|It gets rid of all qi that is not proper. It warms spleen and stomach before a meal and promotes the digestion of drink and food. It wards off pestilence and eliminates cold-wetness evil.|Tsangshu (one jin of seeds; soak for three days, slice with a bamboo knife. Dry over a fire and make into a fine powder), fennel (two liang; roast and make into a fine powder), liquorice (two liang; roast and make into a fine powder), white flour (one jin; roast), dried jujubes (two sheng; dry over a fire and make into a fine powder), salt (four liang; roast).|Mix ingredients together evenly. Take a little each day on an empty stomach in boiling water.|仙术汤|去一切不正之气，温脾胃，进饮食，辟瘟疫，除寒湿。|苍术 一斤，米泔浸三日，竹刀子切片，焙乾，为末  茴香 二两，炒，为末  甘草 二两，炒，为末  白面 一斤，炒  乾枣 二升，焙乾，为末  盐 四两，炒|上件，一同和匀。每日空心白汤点服。
Apricot Frost Puree|It harmonizes and accords lung qi, benefits the diaphragm, and cures coughing.|Millet grains (five sheng; roast. Make a flour), apricot kernels (two sheng; remove the skin, tips and bran. Roast and grind up), salt (three liang; roast).|Mix ingredients together evenly. Take two qian dissolved in boiling water each day on an empty stomach. Add a little cream.8 It is all the better.|杏霜汤|调顺肺气，利胸膈，治咳嗽。|粟米 五升，炒，为面  杏仁 二升，去皮、尖，麸炒，研  盐 三两，炒|上件拌匀。每日空心白汤调一钱。入酥少许尤佳。
Chinese Yam [Dioscorea opposita] Puree|It augments for deficiency, increases qi, warms the center and moistens the lungs.|Chinese yams (one jin; cook until done), millet grains (half a sheng; roast. Make a flour), apricot kernels (two jin; roast until overdone. Remove the skin and tips. Cut up into grains).|Take two qian of ingredients [i.e., millet grains and apricot kernels] dissolved in boiling water each day on an empty stomach. Add a little liquid butter, and [the cooked] Chinese yams to taste.|山药汤|补虚益气，温中润肺。|山药 一斤、煮熟  粟米 半升，炒，为面  杏仁 二斤，炒令过熟，去皮、尖，切如米|上件，每日空心白汤调二钱，入酥油少许，山药任意。
“Four Harmonies Puree”|It cures chill pain of the abdomen, and disharmony of spleen and stomach.|White flour (one jin; roast), sesame [seeds] (one jin; roast), fennel (two liang; roast), salt (one liang; roast).|Make all ingredients into a fine powder. Take a little each day on an empty stomach in boiling water.|四和汤|治腹内冷痛，脾胃不和。|白面 一斤，炒  芝麻 一斤，炒  茴香 二两，炒   盐 一两，炒|上件，并为末。每日空心白汤点服。
Jujube [Zizyphus jujuba and other Z. spp] and Ginger Puree|It accords the stomach and promotes digestion of drink and food.|Sprouting ginger (one jin; cut into slices), jujubes (three jin; remove the pith; roast), liquorice (two liang; roast), salt (two liang; roast).|Make a fine powder of ingredients. Combine all ingredients together evenly. Take a little in boiling water each day on an empty stomach.|枣姜汤|和脾胃，进饮食。|生姜 一斤，切作片  枣 三升，去核，炒  甘草 二两，炒  盐 二两，炒|上件为末，一处拌匀。每日空心白汤点服。
Fennel Puree|It cures asthenia of the store of primary energies, and chill pain of the middle abdomen.|Fennel (one jin; roast), Sichuan pagoda tree [Melia toosendan] fruits (one-half jin), prepared mandarin orange peel (one-half jin; remove the white), liquorice (four liang; roast), salt (one-half jin; roast).|Make ingredients into a fine powder. Combine together evenly. Each day take a little in boiling water on an empty stomach.|茴香汤|治元藏虚弱，脐腹冷痛。|茴香 一斤，炒  川楝子 半斤  陈皮 半斤，去白  甘草 四两，炒  盐 半斤，炒|上件为细末，相和匀。每日空心白汤点服。
Puree for Stagnant Qi|It cures asthenia of the store of primary energies, abdomen pain, and obstructed listlessness of the diaphragm.|Apricot kernels (one jin; remove the skin, tips and bran; roast and grind up separately), fennel (four liang; roast), lesser galangal (one liang), cubebs [Litsea cubeba]11 (two liang; remove the white), prepared mandarin orange peel (two liang; remove the white), kueihua [Osmanthus fragrans] flowers (one-half jin), turmeric12 (one liang), muxiang [root of Vladimiria souliei or Saussurea lappa] (one liang), liquorice (one-half jin), salt (one half jin).|Make a fine powder of ingredients. Take a little in boiling water on an empty stomach.|破气汤|治元藏虚弱，腹痛，胸膈闭闷。|杏仁 一斤，去皮、尖，麸炒，别研  茴香 四两，炒  良姜 一两  荜澄茄 二两  陈皮 二两，去白  桂花 半斤  姜黄 一两  木香 一两  丁香 一两  甘草 半斤  盐 半斤|上件为细末。空心白汤点服。
Oriental Flowering Apricot [Prunus mume] Puree|It cures heat of the center, dry sensation of the five centers, acute diarrhea and vomiting syndrome, dry thirst, and failure of bodily fluids to pass.|Salted oriental flowering apricots (one jin), white sandalwood (four liang), liquorice (four liang), salt (one-half jin).|Make a fine powder of ingredients. Each dose is one qian. Add a little juice of sprouting ginger. Dissolve in boiling water.|白梅汤|治中热，五心烦躁，霍乱呕吐，乾渴，津液不通。|白梅肉 一斤  白檀 四两  甘草 四两  盐 半斤|上件为细末。每服一钱，入生姜汁少许，白汤调下。
Chinese Quince [Chaenomeles sinensis] Puree|It cures [evil] foot qi insensitivity, overstrained knee, chill numbness ache.|Chinese quinces (four pieces; steam cook. Remove the skin and grind, mashing up finely), crystallized honey (two jin; refine).|Combine the two listed ingredients together evenly. Put into a clean crockery pot and store. Take a little each day in boiling water on an empty stomach.|木瓜汤|治脚气不仁，膝劳冷痹疼痛。|木瓜 四个，蒸熟，去皮，研烂如泥  白沙蜜 二斤，炼净|上件二味，调和匀，入净磁器内盛之。空心白汤点服。
Detoxifying Dried Orange Peel Puree|It is used to cure intoxication that persists, vomiting and bile in the throat.|[Prepared] fragrant orange [Citrus sinensis] peel (one jin; remove the white.), prepared mandarin orange peel15 (one jin; remove the white), sandalwood (four liang), kudzu flower (one-half jin), mungbean flower (one-half jin), ginseng (two liang; remove the green shoots), cardamom kernel (two liang), salt (six liang; roast).|Make a fine powder of ingredients. Each day take a little in boiling water on an empty stomach.|橘皮醒酲汤|治酒醉不解，呕噫吞酸。|香橙皮 一斤，去白  陈橘皮 一斤，去白  檀香 四两  葛花 半斤  绿豆花 半斤 人参 二两，去芦  白豆蔻仁 二两  盐 六两，炒|上件为细末。每日空心白汤点服。
Qatiq Cakes|They bring forth saliva, and control thirst. They cure cough.|Qatiq (one liang, two qian), Korean ginseng (one liang; remove green shoots), acorus root (one qian; grind each to a fine powder), white nabat (three liang; powder. This is a kind of sugar).|[For] ingredients, use grape wine to make an emulsion with the qatiq. Combine evenly with the fine powders of other medicinals. Make a dose, press into a cake. Use one cake each time. Let it dissolve slowly in the mouth.|渴忒饼儿|生津止渴，治嗽。|渴忒 一两二钱  新罗参 一两，去芦  菖蒲 一钱，各为细末  白纳八 三两，研，系沙糖|上件，将渴忒用葡萄酒化成膏，和上项药末，令匀为剂，印作饼。每用一饼，徐徐噙化。
Cinnamon Qatiq Cakes|They bring forth saliva, and stop cough-caused-by-cold-evil.|Cinnamon (two qian; make a fine powder), qatiq (one liang, two qian), Korean ginseng (one liang; remove green shoots, make a fine powder), white nabat (three liang; powder).|[For] ingredients use rose-water to make an emulsion with the qatiq. Combine with the fine powders of other medicinals to make a dose. Use myrobalan [Terminalia chebula] oil. Cut out into cakes. Eat one cake each time. Let it dissolve slowly in the mouth.|官桂渴忒饼儿|生津，止寒嗽。|官桂 二钱，为末  渴忒 一两二钱  新罗参 一两二钱，去芦，为末  白纳八 三两，研|上件，将渴忒用玫瑰水化成膏，和药末为剂，用诃子油印作饼子。每用一饼，徐徐噙化。
Tabilqa Cakes|They make the head and eye clear, and benefit throat and diaphragm. They bring forth saliva, and stop thirst. They cure cough.|Tabilqa (two qian; finely powdered; the same as caolongdan [Gentiana spp], Korean ginseng (one liang, two qian; remove the green shoots and finely powder), white nabat (five liang; grind up).|[For] ingredients use cicigina (this is a northern suanjueer16) and decoct into an paste. Combine with medicinal powders to make a dose, cut into a cake. Eat one cake each time. Let it dissolve slowly in the mouth.|答必纳饼儿|清头目，利咽膈，生津止渴，治嗽。|答必纳 二钱为末，即草龙胆  新罗参 一两二钱，去芦，为末  白纳八 五两，研|上件，用赤赤哈纳 即北地酸角儿。 熬成膏，和药末为剂，印作饼儿，每用一饼，徐徐噙化。
Fragrant Orange Aromatic Cakes|They extend the chest, and accord qi. They clean and benefit head and eye.|New fragrant orange peel (one liang; dry over a fire; remove white), garuwood (five qian), white sandalwood (five qian), grain-of-paradise (five qian), cardamom kernel (five qian), cubebs (three qian), southern borax (three qian; grind separately), baroos camphor [Dryobalanops aromatica resin] (one qian; grind separately), musk deer musk (two qian; grind separately).|Make ingredients into a fine powder. Combine into a dose with liquorice paste and cut out into a cake. Eat one cake each time. Let it dissolve slowly in the mouth.|橙香饼儿|宽中顺气，清利头目。|新橙皮 一两，焙，去白  沉香 五钱  白檀 五钱  缩砂 五钱   白豆蔻仁 五钱  荜澄茄 三钱  南硼砂 三钱，别研  龙脑 二钱，别研  麝香 二钱，别研。|上件为细末，甘草膏和剂印饼。每用一饼，徐徐噙化。
Cow Medullae Paste|It builds up essence, and the medullae. It strengthens sinew and bone, accords blood qi, lengthens the years, and augments longevity.|Solomon’s seal [Polygonatum cirrhifolium or P. multiflorum] paste (five liang), Chinese foxglove [Rehmannia glutinosa] paste (three liang), Chinese asparagus [Asparagus lucidus or A. cojinjinensis] paste (three liang), oil from cow skull marrow (two liang).|[Of] ingredients take the Solomon’s seal paste, the Chinese foxglove paste, and the Chinese asparagus paste and combine with the cow skull marrow oil quickly, using a silver spoon, and stirring without stopping the hand. Allow to solidify. Combine evenly into a paste. Every day take a spoonful dissolved in warm liquor on an empty stomach.|牛髓膏子|补精髓，壮筋骨，和血气，延年益寿。|黄精膏 五两  地黄膏 三两  天门冬膏 一两  牛骨头内取油 二两|上件，将黄精膏、地黄膏、天门冬膏与牛骨油一同不住手用银匙搅，令冷定和匀成膏。每日空心温酒调一匙头。
Chinese Quince Concentrate||Chinese quinces (10; remove the skin and stems, take the juice. Boil down until the liquid is gone), white granulated sugar (Ten jin; refine).|Boil ingredients together repeatedly and make into a concentrate.|木瓜煎||木瓜 十个，去皮穣，取汁，熬水尽  白沙糖 十斤，炼净|上件，一同再熬成煎。
Citron [including Citrus medica, also C. medica var. sarcodactylis] Concentrate||Citrons (20 pieces; remove the skin and take the meat), white granulated sugar (two jin; refine).|Boil ingredients together repeatedly and make a concentrate.|香圆煎||香圆 二十个，去皮取肉  白沙糖 十斤，炼净|上件，一同再熬成煎。
Hazelnut Concentrate||Hazelnuts (100 pieces; take the cleaned meat), white granulated sugar (five jin; refine).|Boil ingredients together and make a concentrate.|株子煎||株子 一百个，取净肉  白沙糖 五斤，炼净|上件，同熬成煎。
Purple Perilla Concentrate||Purple perilla leaf (five jin), dried Chinese quince (five jin), white granulated sugar (ten jin; refine).|Boil ingredients together and make concentrate.|紫苏煎||紫苏叶 五斤  干木瓜 五斤  白沙糖 十斤，炼净|上件，一同熬成煎。
Kumquat [Fortunella margarita] Concentrate||Kumquats (50; remove the seeds and take the skin), white granulated sugar (three jin).|Boil ingredients together and make a concentrate.|金橘煎||金橘 五十个，去子取皮  白沙糖 三斤|上件，一同熬成煎。
Cherry [Prunus pseudocerasus] Concentrate||Cherries (50 jin; take the juice), white granulated sugar (24 jin; refine).|Boil ingredients together and make a concentrate.|樱桃煎||樱桃 五十斤，取汁  白沙糖 二十五斤|上件，同熬成煎。
Peach Concentrate||Large peaches (100; remove the skins, cut into slices and take the juice), crystallized honey (two jin; refine).|Boil ingredients together and make a concentrate.|桃煎||大桃 一百个，去皮，切片取汁  白沙蜜 二十斤，炼净|上 件，一同熬成煎。
Pomegranate Syrup||Pomegranate seeds (10 jin; take the juice), white sugar (ten jin; refine).|Boil ingredients together and make a concentrate.|石榴浆||石榴子 十斤，取汁  白沙糖 十斤，炼净|上件，一同熬成煎。
Rose [Rosa laevigata and other Rosa spp.] Hips Concentrate||Rose hips (two dou; steam. When done remove the seeds; grind into a mash), crystallized honey (ten jin; refine).|Boil ingredients together and make a concentrate.|小石榴煎||小石榴 二斗，蒸熟去子，研为泥  白沙蜜 十斤，炼净|上件，一同熬成煎。
Red Currant Sharba[t]||Fresh northern red currants (ten jin; remove the seed. Immerse in water and take the juice), white granulated sugar (eight jin; refine).|Boil ingredients together and make a concentrate.|五味子舍儿别||新北五味 十斤，去子，水浸取汁  白沙糖 八斤，炼净|上件，一同熬成煎。
Cicigina (a kind of Suanci [Ziziphus spp.])||Cicigina (it does not matter whether a lot or a little is used; immerse in water; take the juice).|Boil ingredient down to a paste in a mica pot.|赤赤哈纳即酸刺||赤赤哈纳 不以多少，水浸取汁|上件，用银石器内熬成膏。
Pine Seed Oil||Pine seeds (it does not matter whether a lot or few are used; remove the skin; pound down into a mash).|Extract the juice from ingredient by “water pressing.”23 Boil down. Take the floating, clear oil and strain with cotton. Boil again and let clear.|松子油||松子 不以多少，去皮，捣研为泥|上件，水绞取汁熬成，取净清油绵滤净，再熬澄清。
Apricot Seed Oil||Apricot seeds (it does not matter whether a lot or a few are used; smash into fragments along with the skins).|Cook apricot seeds in water. Decoct, take the floating oil and strain with cotton. Boil again to make the oil.|杏子油||杏子 不以多少，连皮捣碎|上件，水煮熬，取浮油，绵滤净，再熬成油。
Liquid Butter|||Take the floating, congealed material from cow’s milk. Boiled it becomes liquid butter.|酥油|||牛乳中取净凝，熬而为酥。
Ghee|||Take the very best liquid butter, something over a thousand jin in weight. After concentrating by boiling and straining, use a large crockery pot to store. During the winter months take that which is not congealed from the middle of the pot. This is called ghee.|醍醐油|||取上等酥油，约重千斤之上者，煎熬过滤净，用大磁瓮贮之，冬月取瓮中心不冻者，谓之醍醐。
Mäskä Oil|||Take clean cow’s milk. Without stopping the hand use a qashiq (this is a wooden implement for churning butter) and churn to get the floating congealment. This is mäskä oil. At present it is also called white liquid butter.|马思哥油|||取净牛奶子不住手用阿赤 即打油木器也。 打取浮凝者为马思哥油。今亦云白酥油。
Chinese Matrimony Vine Fruit Tea|||[Take] five dou of Chinese matrimony vine fruits and scour in water to clean. Remove the floating chaff, dry over a fire. Use a white cloth tube to clean the fruits and remove the stems, calyxes, and black material. Choose only red and ripe fruits. First use Sparrow Tongue Tea to cleanse a stone roller. Do not use young tea buds. Then roll the matrimony vine fruit and make a fine powder. Use each day, on an empty stomach. Use a spoonful. Add liquid butter and mix evenly. Dissolve in warmed liquor. Boiling water can also be used. (Avoid eating it together with cream)|枸杞茶|||枸杞五斗，水淘洗净，去浮麦，焙乾，用白布筒净，去蒂萼、黑色，选拣红熟者，先用雀舌茶展溲碾子，茶芽不用，次碾枸杞为细末。每日空心用□ 匙头，入酥油搅匀，温酒调下，白汤亦可。 忌与酪同食。
Jade Mortar Tea|||Take] fifty jin of the best quality [tea], clean in a sieve tube. Take fifty jin of Sumen roasted rice and clean in a sieve tube. Combine uniformly together. Put into a jade mortar and grind. Make the tea.|玉磨茶||上等紫笋五十斤，筛筒净，苏门炒米五十斤，筛筒净|一同拌和匀，入玉磨内，磨之成茶。
Golden Characters Tea|||This is a powdered tea that is made in Huzhou in Jiangnan and presented to the court.|金字茶|系江南湖州造进末茶。||
Mr. Fan Tianshuai’s Tea|||This is a bud tea that is made by Qingyuan lu in Jiangzhe and presented to the court. It is absolutely superior in flavor and color to other teas.|范殿帅茶|系江浙庆元路造进茶芽，味色绝胜诸茶。||
Purple Shoots Sparrow Tongue Tea|||After selecting and steaming new, tender shoots, make them into Purple Shoots Tea. The flavors of the Before Spring, Following Spring and Seeking for Spring varieties cannot compare with Purple Shoots Sparrow Tongue Tea.|紫笋雀舌茶|选新嫩芽蒸过，为紫笋。有先春、次春、探春，味皆 不及紫笋雀舌。||
Nüxuer Tea|||(It comes from the lands directly north. Its flavor is warming and sweet.)|女须儿|出直北地面，味温甘。||
Tibetan Tea|||(It comes from Tibet. Its flavor is bitter and astringent. It is decocted using liquid butter.)|西番茶|出本土，味苦涩，煎用酥油。||
Sichuan Tea, Rattan Tea, Kua Tea|||(The above come from Sichuan.)|川茶、藤茶、夸茶|皆出四川。||
Swallow Tail Tea|||(It comes from Jiangzhe and Jiangxi.)|燕尾茶|出江浙、江西。||
Children’s Tea [Catechu]|||(It comes from Guangnan.)|孩儿茶|出广南。||
Warm Mulberry Tea|||(It comes from dark valleys.)|温桑茶|出黑峪。||
Clear Tea|||After first bringing water to a boil, strain. Put the tea buds in it. It will be steeped in a short while.|清茶|||先用水滚过滤净，下茶芽，少时煎成。
Roasted Tea|||Use an iron cauldron; roast red. It is made by roasting mäskä oil, cow’s milk, and tea buds together.|炒茶|||用铁锅烧赤，以马思哥油、牛奶子、茶芽同炒成。
Orchid Paste|||Stir together three spoonfuls of Jade Mortar Powdered tea, flour, and liquid butter to make the paste. Boil in water and take a little.|兰膏|||玉磨末茶三匙头，面、酥油同搅成膏，沸汤点之。
Süttiken|||Add liquid butter to two spoonfuls of Golden Characters Powdered Tea and combine. Boil in water and take a little.|酥签|||金字末茶两匙头，入酥油同搅，沸汤点服。
Fortified Broth|||Put one spoonful of Jade Mortar Tea into a cup and grind up evenly. Use after boiling a hundred times [i.e., repeatedly].|建汤|||玉磨末茶一匙，入碗内研匀，百沸汤点之。
Aromatic Tea|||Grind together finely white tea (one bag), sliced Baroos camphor (three qian), paiyao [Millettia lasiopetala] decoction (one-half qian), and musk deer musk (two qian). Make a congee using aromatic non-glutinous rice. Combine [all ingredients] into a dose. Press into a cake.|香茶||白茶 一袋  龙脑成片者 三钱  百药煎 半钱  麝香 二钱|同研细，用香粳米 熬成粥，和成剂，印作饼。
Mastajhi [Mastic] Soup|It supplements and increases, warms the center, and accords qi.|Mutton (leg; bone and cut up), tsaoko cardamoms (five), cinnamon (2 qian), chickpeas [“Muslim beans”] (one–half sheng; pulverize and remove the skins).|Boil ingredients together to make a soup. Strain broth. [Cut up meat and put aside.] Add 2 he of cooked chickpeas, 1 sheng of aromatic non–glutinous rice, 1 qian of mastajhi. Evenly adjust flavors with a little salt. Add [the] cut–up meat and [garnish with] coriander leaves.|马思吉汤|补益，温中，顺气。|羊肉 一脚子，卸成事件  草果 五个  官桂 二钱  回回豆子 半升，捣碎，去皮|上件，一同熬成汤，滤净，下熟回回豆子二合，香粳米一升，马思答吉一钱，盐少许，调和匀，下事件肉、芫荽叶。
Barley Soup|It warms the center and brings down qi. It strengthens spleen and stomach, controls polydipsia, and destroys chill qi. It gets rid of abdominal distension.|Mutton (leg; bone and cut up), tsaoko cardamoms (five), hulled barley (two sheng; scour wash in boiling water; parboil the grains.)|Boil ingredients to make a soup. Strain [broth. Cut up meat and put aside]. Add [the] hulled barley and boil until cooked. Evenly adjust flavors with a little salt. Add [the] cut–up meat.|大麦汤|温中下气，壮脾胃，止烦渴，破冷气，去腹胀。|羊肉 一脚子，卸成事件  草果 五个  大麦仁 二升，滚水淘洗净，微煮熟|上件，熬成汤，滤净，下大麦仁，熬熟，盐少许，调和令匀，下事件肉。
Bal–po Soup | It supplements the center, and brings down qi. It extends the diaphragm.| Mutton (leg; bone and cut up), tsaoko cardamoms (five), chickpeas (half a sheng; pulverize and remove the skins), Chinese radish.|Boil ingredients together to make a soup. Strain [broth. Cut up meat and Chinese radish and put aside]. Add to the soup [the] mutton cut up into sashuq [coin]–sized pieces, [the] cooked Chinese radish cut up into sashuq–sized pieces, 1 qian of za’faran [saffron], 2 qian of Turmeric, 2 qian of Black [“Iranian”] Pepper, half a qian of kasni, [asafoetida], coriander leaves. Evenly adjust flavors with a little salt. Eat over cooked aromatic non–glutinous rice. Add a little Vinegar.|八儿不汤|系西天茶饭名。补中，下气，宽胸膈。|羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮  萝卜 二个|上件，一同熬成汤，滤净，汤内下羊肉，切如色数大，熟萝卜切如色数大，咱夫兰一钱，姜黄二钱，胡椒二钱，哈 昔泥半钱，芫荽叶、盐少许，调和匀，对香粳米乾饭食之，入醋少许。
Šaqimur [Rape Turnip] Soup|It supplements the center, and brings down qi. It harmonizes spleen and stomach.| Mutton (leg; bone and cut up), tsaoko cardamoms (five), chickpeas (half a sheng, pulverize and remove the skins), šaqimur (five); like Manqing [silver beet or Swiss chard]).| Boil ingredients together and make a soup. Strain [broth. Cut up meat and šaqimur and put aside]. Add 2 he of cooked chickpeas, 1 sheng of aromatic non–glutinous rice, [the] cooked šaqimur beet cut up into sashuq–sized pieces. Add [the] cut–up meat. Evenly adjust flavors with a little salt.|沙乞某儿汤|补中，下气，和脾胃。|羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮  沙乞某儿 五个，系蔓菁|上件，一同熬成汤，滤净，下熟回回豆子二合，香粳米一升。熟沙乞某儿切如色数大，下事件肉，盐少许，调和令匀。
